provider,level,file_type,file_size,n,mean,median,std,min,max,compression_ratio,epm_mean,epm_median,epp_mean,epp_median
gzip,fast,pdf,medium,30,31.4918,31.4278,0.2035,31.1199,31.9836,0.8178,0.258,0.2574,1.7284,1.7249
gzip,fast,pdf,small,30,3.2172,3.2136,0.0441,3.1417,3.3052,0.8234,0.2642,0.2639,0.1822,0.182
gzip,fast,text,large,29,49.0251,48.9804,0.2656,48.6659,49.6913,0.2525,0.0981,0.098,0.6559,0.6553
gzip,fast,text,medium,30,9.8979,9.8975,0.07,9.7861,10.032,0.2524,0.099,0.099,0.1324,0.1324
gzip,fast,text,small,30,1.2775,1.2728,0.0534,1.2019,1.3839,0.2525,0.1277,0.1273,0.0171,0.017
zstd,default,csv,large,30,25.5969,25.4691,0.5611,24.6323,26.5241,0.2113,0.0512,0.0509,0.3245,0.3229
zstd,default,csv,medium,30,5.4358,5.4276,0.068,5.332,5.5844,0.2144,0.0544,0.0543,0.0692,0.0691
zstd,default,csv,small,30,1.0848,1.059,0.07,0.9938,1.2614,0.2193,0.1085,0.1059,0.0139,0.0136
zstd,default,image,large,30,51.165,51.146,0.6342,50.1695,52.869,0.868,0.1023,0.1023,3.8761,3.8747
zstd,default,image,medium,30,10.6536,10.6357,0.0848,10.4994,10.8318,0.8792,0.1065,0.1064,0.8819,0.8804
zstd,default,image,small,30,1.2714,1.2723,0.0745,1.1666,1.4864,0.9211,0.1271,0.1272,0.1611,0.1612
zstd,default,pdf,large,30,46.8621,46.8786,0.5281,45.7663,47.8654,0.7958,0.0767,0.0767,2.2949,2.2957
zstd,default,pdf,medium,29,9.2025,9.19,0.0747,9.0923,9.4043,0.7969,0.0754,0.0753,0.4531,0.4525
zstd,default,pdf,small,30,1.27,1.261,0.0521,1.1911,1.4146,0.8028,0.1043,0.1035,0.0644,0.0639
zstd,default,text,large,30,22.9791,23.0094,0.268,22.4568,23.4193,0.209,0.046,0.046,0.2905,0.2909
zstd,default,text,medium,30,5.1751,5.137,0.1277,4.9859,5.443,0.2089,0.0518,0.0514,0.0654,0.0649
zstd,default,text,small,29,1.0261,1.0158,0.0428,0.9592,1.1281,0.2092,0.1026,0.1016,0.013,0.0128
zstd,fast,csv,large,29,14.6718,14.6829,0.0971,14.4599,14.8846,0.1944,0.0293,0.0294,0.1821,0.1823
zstd,fast,csv,medium,30,3.2755,3.2626,0.0579,3.177,3.4266,0.2045,0.0328,0.0326,0.0412,0.041
zstd,fast,csv,small,30,0.9315,0.9454,0.0688,0.8273,1.1088,0.2132,0.0931,0.0945,0.0118,0.012
zstd,fast,image,large,29,16.6542,16.6813,0.1614,16.2754,17.1114,0.9282,0.0333,0.0334,2.3195,2.3233
zstd,fast,image,medium,29,3.5089,3.518,0.0496,3.4207,3.5843,0.9287,0.0351,0.0352,0.4921,0.4934
zstd,fast,image,small,30,0.9762,0.9736,0.0816,0.851,1.1499,0.9298,0.0976,0.0973,0.1391,0.1387
zstd,fast,pdf,large,30,22.3577,22.3696,0.1427,22.0975,22.5776,0.8196,0.0366,0.0366,1.2393,1.24
zstd,fast,pdf,medium,30,4.9727,4.9359,0.1137,4.8289,5.1953,0.8203,0.0407,0.0404,0.2767,0.2747
zstd,fast,pdf,small,30,0.9472,0.9482,0.0615,0.8454,1.0695,0.8233,0.0778,0.0779,0.0536,0.0537
zstd,fast,text,large,30,17.4939,17.5011,0.0954,17.271,17.7543,0.2108,0.035,0.035,0.2217,0.2218
zstd,fast,text,medium,30,3.5297,3.5325,0.0382,3.4489,3.602,0.2108,0.0353,0.0353,0.0447,0.0448
zstd,fast,text,small,30,0.9306,0.8942,0.0766,0.8529,1.1391,0.2109,0.0931,0.0894,0.0118,0.0113
